,CharacterName,WikiLink
1658,Red Ronin,Red Ronin
1659,Red She-Hulk,Betty Ross
1660,Red Shift,Red Shift (comics)
1661,Red Skull,Red Skull
1662,Red Sonja,Red Sonja
1663,Red Wolf,Red Wolf (comics)
1664,Redstone,Redstone (comics)
1665,Redwing,Redwing (Marvel Comics)
1666,Redeemer,
1667,Regent,
1668,Reignfire,Reignfire
1669,Ben Reilly,Ben Reilly
1670,Replica,
1671,Reptil,Reptil
1672,Reptyl,Reptyl
1673,Clive Reston,Clive Reston
1674,Rev,Rev (comics)
1675,Revanche,Revanche (Marvel Comics)
1676,Revolutionary,
1677,Cecilia Reyes,Cecilia Reyes
1678,Gabe Reyes,
1679,Rhapsody,Rhapsody (comics)
1680,Rhino,Rhino (comics)
1681,Val Rhymin,Val Rhymin
1682,Zander Rice,
1683,Franklin Richards,Franklin Richards (Fantastic Four)
1684,Gail Richards,
1685,Nathaniel Richards,Nathaniel Richards (Marvel Comics)
1686,Valeria Richards,Valeria Richards
1687,Molly von Richthofen,Molly von Richthofen
1688,Ricochet,Ricochet (comics)
1689,Rictor,Rictor
1690,Right-Winger,
1691,Ringer,Ringer (comics)
1692,Ringmaster,Ringmaster (comics)
1693,Ringo Kid,Ringo Kid
1694,Rintrah,
1695,Dallas Riordan,Dallas Riordan
1696,Riot,
1697,Riptide,Riptide (comics)
1698,Deborah Risman,Deborah Risman
1699,Matthew Risman,Matthew Risman
1700,Risque,Risque (comics)
1701,Donald & Deborah Ritter,Donald & Deborah Ritter
1702,Roberta,
1703,Robbie Robertson,Robbie Robertson (comics)
1704,Randy Robertson,Randy Robertson
1705,Rock Python,Rock Python
1706,Rocket Raccoon,Rocket Raccoon
1707,Rocket Racer,Rocket Racer
1708,Rocketeers,Rocketeers (comics)
1709,Rocketlauncher,Death Squad (comics)
1710,Rockman,Rockman (comics)
1711,Rockslide,Rockslide (comics)
1712,Barbara Rodriguez,
1713,Rodstvow,Rodstvow
1714,Joseph Rogers,
1715,Sarah Rogers,
1716,Steven Rogers,
1717,Rogue,Rogue (comics)
1718,Rom,Rom (comics)
1719,Roma,Roma (comics)
1720,Romulus,Romulus (Marvel Comics)
1721,Ronan the Accuser,Ronan the Accuser
1722,Ronin,Ronin (Marvel Comics)
1723,Richard Rory,Richard Rory
1724,Bernie Rosenthal,
1725,Roughouse,Roughouse
1726,Roulette,
1727,Donald Roxxon,
1728,Royal Roy,Royal Roy
1729,Ruby Thursday,Ruby Thursday
1730,Ruckus,Ruckus (comics)
1731,Runner,Runner (comics)
1732,Henry Russo,Henry Russo
1733,The Russian,Russian (comics)
1734,Ryder,Skrull Kill Krew
1735,John Ryker,John Ryker
1736,Rynda,
1737,Sabra,Sabra (comics)
1738,Sabreclaw,
1739,Sabretooth,Sabretooth (comics)
1740,Gwenny Lou Sabuki,
1741,Sage,Sage (comics)
1742,Sagittarius,Sagittarius (comics)
1743,Lynn Sakura,
1744,Sandman,Sandman (Marvel Comics)
1745,Sangre,Sangre (comics)
1746,Sasquatch,Sasquatch (comics)
1747,Sat-Yr-9,Sat-Yr-9
1748,Satana,Satana (Marvel Comics)
1749,Satannish,Satannish
1750,Saturnyne,Saturnyne
1751,Saul,Saul (comics)
1752,Sauron,Sauron (comics)
1753,Savage Steel,
1754,Happy Sam Sawyer,Happy Sam Sawyer
1755,Rafael Scarfe,
1756,Scaleface,Scaleface
1757,Scalphunter,Scalphunter (Marvel Comics)
1758,Scanner,
1759,Scarecrow,Scarecrow (Marvel Comics)
1760,Scarlet Scarab,Scarlet Scarab
1761,Scarlet Spider,Scarlet Spider
1762,Scarlet Witch,Scarlet Witch|Wanda Maximoff (Marvel Cinematic Universe)
1763,Schizoid Man,
1764,Eric Schwinner,
1765,Scientist Supreme,Scientist Supreme
1766,Scimitar,Scimitar (Marvel Comics)
1767,Scintilla,
1768,Scorcher,Scorcher (comics)
1769,Scorpia,Scorpia (comics)
1770,Scorpio,Scorpio (Marvel Comics)
1771,Scorpion,Scorpion (Marvel Comics)
1772,Scorn,
1773,Scourge of the Underworld,Scourge of the Underworld
1774,Scramble,Scramble (comics)
1775,Scrambler,Scrambler (comics)
1776,Grady Scraps,
1777,Nicholas Scratch,Nicholas Scratch
1778,Scream,Scream (comics)
1779,Scribe,Scribe (comics)
1780,Scuzz,Scuzz (comics)
1781,Seeker,
1782,Selene,Selene (comics)
1783,Erik Selvig,Erik Selvig
1784,Señor Muerte / Señor Suerte,Señor Muerte / Señor Suerte
1785,Sentinel,Sentinel (comics)
1786,Sentry,Sentry (comics)
1787,Senyaka,
1788,Sepulchre,
1789,Sequoia,Sequoia (comics)
1790,Serafina,Serafina (Marvel)
1791,Serpentina,Serpentina (comics)
1792,Sersi,Sersi
1793,Set,
1794,Juston Seyfert,Juston Seyfert
1795,Shadow King,Shadow King
1796,Shalla-Bal,Shalla-Bal
1797,Shaman,Shaman (comics)
1798,Shamrock,Shamrock (comics)
1799,Shang-Chi,Shang-Chi|Shang-Chi (Marvel Cinematic Universe)
1800,Shanna the She-Devil,Shanna the She-Devil
1801,Karima Shapandar,Karima Shapandar
1802,Shape,Shape (comics)
1803,Shaper of Worlds,Shaper of Worlds
1804,Shard,Shard (comics)
1805,Miriam Sharpe,Miriam Sharpe
1806,Shathra,Shathra
1807,Shatter,Shatter (comics)
1808,Shatterax,
1809,Shatterstar,Shatterstar
1810,Jacob Shaw,Jacob Shaw (comics)
1811,Sebastian Shaw,Sebastian Shaw (comics)
1812,Shinobi Shaw,Shinobi Shaw
1813,She-Hulk,She-Hulk
1814,She-Venom,Anne Weying
1815,Sheath,
1816,Shellshock,Shellshock (Marvel Comics)
1817,Shepard,Shepard (comics)
1818,Max Shiffman,
1819,Lotus Shinchuko,Lotus Shinchuko
1820,Randall Shire,Randall Shire
1821,Shiva,Shiva (Marvel Comics)
1822,S.H.O.C.,
1823,Shocker,Shocker (comics)
1824,Shockwave,Shockwave (comics)
1825,Shooting Star,Shooting Star (comics)
1826,Shortpack,Shortpack
1827,Shotgun,
1828,Shrew,Shrew (comics)
1829,Shriek,Shriek (comics)
1830,Shriker,Shriker
1831,Shroud,Shroud (comics)
1832,Shrunken Bones,
1833,Shuma-Gorath,Shuma-Gorath
1834,Sibercat,
1835,Sidewinder,Sidewinder (comics)
1836,Siege,Siege (John Kelly)
1837,Sif,Sif (comics)|Sif (Marvel Cinematic Universe)
1838,Sigyn,Sigyn (Marvel Comics)
1839,Silencer,Silencer (comics)
1840,Silhouette,Silhouette (comics)
1841,Silk,Silk (comics)
1842,Samuel Silke,Samuel Silke
1843,Silver Dagger,Silver Dagger (comics)
1844,Silver Fox,Silver Fox (comics)
1845,Silver Sable,Silver Sable
1846,Silver Samurai,Silver Samurai
1847,Silver Scorpion,
1848,Silver Surfer,Silver Surfer
1849,Silverclaw,Silverclaw
1850,Silvermane,Silvermane
1851,Jemma Simmons,Jemma Simmons
1852,Sin,Sin (Marvel Comics)
1853,Sin-Eater,Sin-Eater (comics)
1854,Sirocco,Sirocco (comics)
1855,Siryn,Siryn
1856,Sise-Neg,
1857,Sister Dagger,
1858,Jasper Sitwell,Jasper Sitwell
1859,Skaar,Skaar (character)
1860,Skein,Skein (comics)
1861,Skids,Skids (comics)
1862,Skin,Skin (Marvel Comics)
1863,Skinner,Skinner (comics)
1864,Skornn,Skornn
1865,Skrullian Skymaster,Skrullian Skymaster
1866,Skull the Slayer,Skull the Slayer
1867,Skullbuster,Skullbuster
1868,Skullfire,Skullfire
1869,Skybolt,Redneck (comics)
1870,Skyhawk,Skyhawk (comics)
1871,Slab,Slab (comics)
1872,Margaret Slade,Margaret Slade (Marvel Comics)
1873,Slapstick,Slapstick (comics)
1874,Slash,Slash (Marvel Comics)
1875,Trevor Slattery,Trevor Slattery
1876,Vic Slaughter,
1877,Slaymaster,Slaymaster
1878,Sleeper,Sleeper (Marvel Comics)
1879,Sleepwalker,Sleepwalker (comics)
1880,Slipstream,Slipstream (comics)
1881,Sligguth,
1882,Slither,Slither (comics)
1883,Slingshot,Yo-Yo Rodriguez
1884,Slug,Slug (comics)
1885,Slyde,Slyde
1886,Marrina Smallwood,Marrina Smallwood
1887,Smart Alec,
1888,Smartship Friday,Smartship Friday
1889,Smasher,Smasher (Marvel Comics)
1890,Smiling Tiger,Smiling Tiger
1891,Smuggler,Smuggler (comics)
1892,Alistair Smythe,Alistair Smythe
1893,Spencer Smythe,Spencer Smythe
1894,Snake Marston,Snake Marston (comics)
1895,Snakes,
1896,Snapdragon,Snapdragon (comics)
1897,Snowbird,Snowbird (comics)
1898,Tildie Soames,Tildie Soames
1899,Martin Soap,Martin Soap
1900,Solarman,Solarman
1901,Solarr,
1902,Solo,Solo (Marvel Comics)
1903,Solomon Kane,Solomon Kane (comics)
1904,Songbird,Songbird (comics)
1905,Candy Southern,
1906,Southpaw,Southpaw (comics)
1907,Space Phantom,
1908,SP//dr,Peni Parker
1909,Speed,Speed (comics)
1910,Speed Demon,Speed Demon (comics)
1911,Speedball,Robbie Baldwin
1912,Mrs. Spector,
1913,Sphinx,Sphinx (Marvel Comics)
1914,Spider-Girl,Spider-Girl (Mayday Parker)
1915,Spider-Ham,Spider-Ham
1916,Spider King,
1917,Spider-Man,Spider-Man (Pavitr Prabhakar)
1918,Spider-Man 2099,Spider-Man 2099
1919,Spider-Punk,Spider-Punk
1920,Spider-Slayer,Spider-Slayer
1921,Spider-UK,Spider-UK
1922,Spider-Woman,Spider-Woman
1923,Spidercide,Spidercide
1924,Spike,Spike (Marvel Comics)
1925,Spiral,Spiral (comics)
1926,Spirit of '76,Spirit of '76 (Marvel Comics)
1927,Spirit of Vengeance,
1928,Spitfire,Spitfire (comics)
1929,Spoilsport,Spoilsport (comics)
1930,Spoor,Spoor (comics)
1931,Spot,Spot (comics)
1932,Sprite,Sprite (Eternal)
1933,Sprocket,Sprocket (comics)
1934,Sputnik,Sputnik (comics)
1935,Spyder,Spyder (comics)
1936,Spyke,Spyke
1937,Spymaster,Spymaster (comics)
1938,Spyne,Spyne
1939,Squirrel Girl,Squirrel Girl
1940,Squid,Squid (Marvel Comics)
1941,Squidboy,Squidboy
1942,Gabriel and Sarah Stacy,Gabriel Stacy and Sarah Stacy
1943,George Stacy,George Stacy
1944,Gwen Stacy,Gwen Stacy|Spider-Woman (Gwen Stacy)|Gwen Stacy (The Amazing Spider-Man film series)
1945,Helen Stacy,
1946,Stacy X,Stacy X
1947,Stained Glass Scarlet,Stained Glass Scarlet
1948,Stallior,
1949,Zeke Stane,Zeke Stane
1950,Star,
1951,Star Brand,Star Brand
1952,Star-Lord,Star-Lord
1953,Star Thief,Star Thief
1954,Starbolt,
1955,Stardust,Stardust (Marvel Comics)
1956,Starfox,Starfox (comics)
1957,Starhawk,Starhawk (comics)
1958,Starlight,Starlight (Marvel Comics)
1959,Arno Stark,Arno Stark
1960,Howard Stark,Howard Stark
1961,Maria Stark,Maria Stark
1962,Morgan Stark,Morgan Stark
1963,Natasha Stark,
1964,Starr the Slayer,Starr the Slayer
1965,Ava Starr,
1966,Starshine,Starshine (comics)
1967,Emma Steed,Emma Steed
1968,Steel Serpent,Steel Serpent
1969,Steel Spider,Steel Spider
1970,Steel Wind,Steel Wind
1971,Steeplejack,Steeplejack (Marvel Comics)
1972,Stegron,Stegron
1973,Chase Stein,Chase Stein
1974,Victor and Janet Stein,Pride (comics)#The Stein family
1975,Stellaris,Stellaris (comics)
1976,Stepford Cuckoos,Stepford Cuckoos
1977,Steppin' Razor,
1978,Ella Sterling,
1979,Stick,Stick (comics)
1980,Stiletto,Stiletto (comics)
1981,Farley Stillwell,Farley Stillwell
1982,Stilt-Man,Stilt-Man
1983,Stinger,Stinger (Marvel Comics)
1984,Stingray,Stingray (comics)
1985,Stone,
1986,Kron Stone,
1987,Tiberius Stone,
1988,Tyler Stone,
1989,Stonecutter,Stonecutter (comics)
1990,Stoneface,
1991,Stonewall,Stonewall (comics)
1992,Storm,Storm (Marvel Comics)
1993,Franklin Storm,Franklin Storm
1994,Stranger,Stranger (comics)
1995,Gene Strausser,Damage Control (comics)
1996,Straw Man,Straw Man (comics)
1997,Striker,
1998,Stringfellow,Stringfellow (comics)
1999,Strobe,Strobe (comics)
2000,Mendel Stromm,Mendel Stromm
2001,Strong Guy,Strong Guy
2002,Strongman,Strongman (comics)
2003,Simon Stroud,
2004,Stryfe,Stryfe
2005,William Stryker,William Stryker
2006,Alistaire Stuart,
2007,Alysande Stuart,
2008,Stuntmaster,Stunt-Master (comics)
2009,Styx and Stone,Styx and Stone
2010,Subbie,
2011,Sublime,
2012,Subterranea,Subterranea (comics)
2013,Sugar Man,
2014,Sui-San,
2015,Hope Summers,Hope Summers (comics)
2016,Ruby Summers,Ruby Summers
2017,Lin Sun,Sons of the Tiger
2018,Sun Girl,Sun Girl (Marvel Comics)
2019,Sunder,
2020,Sunfire,Sunfire (comics)
2021,Sunpyre,Sunpyre
2022,Sunspot,Sunspot (comics)
2023,Sunturion,Sunturion
2024,Super-Adaptoid,Super-Adaptoid
2025,Super-Patriot,Super-Patriot (Marvel Comics)
2026,Super Rabbit,Super Rabbit (comics)
2027,Super Sabre,Super Sabre (comics)
2028,Super-Skrull,Super-Skrull
2029,Supergiant,Supergiant (comics)
2030,Superia,Superia
2031,Superior,
2032,Supernova,Supernova (Marvel Comics)
2033,Supreme Intelligence,Supreme Intelligence
2034,Supreme Leader,
2035,Surtur,Surtur (Marvel Comics)
2036,Swarm,Swarm (comics)
2037,Sway,
2038,Jenny Swensen,Jenny Swensen
2039,Beverly Switzler,Beverly Switzler
2040,Sword Master,Lin Lie
2041,Swordsman,Swordsman (comics)
2042,Kevin Sydney,Kevin Sydney
2043,Sydren,Sydren
2044,S'ym,
2045,Synapse,Synapse (comics)
2046,Synch,Synch (comics)
2047,Margali Szardos,
2048,T-Ray,T-Ray (comics)
2049,Tag,Tag (comics)
2050,Tai,Tai (comics)
2051,Hiro Takachiho,Hiro Takachiho
2052,Glenn Talbot,Glenn Talbot
2053,Talisman,Talisman (Alpha Flight)
2054,Talon,
2055,Talos the Untamed,Talos the Untamed
2056,Tangerine,
2057,Tara,
2058,Tarantula,Tarantula (Marvel Comics)
2059,Tarot,
2060,Tarzan,Tarzan in comics#Marvel Comics
2061,Taserface,Taserface
2062,Taskmaster,Taskmaster (comics)
2063,Tatterdemalion,
2064,Tattoo,
2065,Taurus,Taurus (comics)
2066,Orwell Taylor,
2067,Taxi Taylor,
2068,Tazza,Tazza (comics)
2069,Teen Abomination,Teen Abomination
2070,Teena the Fat Lady,
2071,Tempest,Angel Salvadore
2072,Claire Temple,Claire Temple|Claire Temple (Marvel Cinematic Universe)
2073,Tempo,Tempo (comics)
2074,Tempus,
2075,Temugin,
2076,Tenebrous,Tenebrous (Marvel Comics)
2077,Terminus,
2078,Terraformer,Terraformer (comics)
2079,Terrax,Terrax
2080,Terror,Terror Inc.
2081,TESS-One,
2082,Texas Twister,Texas Twister
2083,Thane,
2084,Thanos,Thanos|Thanos (Marvel Cinematic Universe)
2085,Thena,Thena
2086,Therak,Death Web (comics)
2087,Thermite,Thermite (comics)
2088,Thin Man,Thin Man (comics)
2089,Thing,Thing (comics)
2090,Thog,Thog (comics)
2091,Thomas Phillip Moreau,
2092,Thor,Thor (Marvel Comics)|Thor (Ultimate Marvel character)|Thor (Marvel Cinematic Universe)
2093,Thor Girl,Thor Girl
2094,Thorn,
2095,Professor Thorton,Professor Thorton
2096,Thori,
2097,Thousand,
2098,Threnody,Threnody (comics)
2099,Thunderball,Thunderball (comics)
2100,Thunderbird,Thunderbird (John Proudstar)
2101,Thunderbolt,Thunderbolt (Marvel Comics)
2102,Thunderclap,Thunderclap (comics)
2103,Thunderer,Thunderer (Marvel Comics)
2104,Thunderstrike,Thunderstrike (Eric Masterson)
2105,Thundersword,Thundersword
2106,Thundra,Thundra
2107,Tiboro,
2108,Tick-Tock,
2109,Tiger Shark,Tiger Shark (Marvel Comics)
2110,Tigra,Tigra
2111,Tim Boo Ba,
2112,Timberius,
2113,Timebroker,Timebroker
2114,Timeslip,Timeslip (comics)
2115,Tin Man,
2116,Tinkerer,Tinkerer (Marvel Comics)
2117,Tippy-Toe,
2118,Titan,
2119,Titania,Titania (Marvel Comics)
2120,Titanium Man,Titanium Man
2121,Titannus,Titannus
2122,Toad,Toad (comics)
2123,Tom Thumb,
2124,Tomazooma,
2125,Tombstone,Tombstone (comics)
2126,Tonaja,Tonaja
2127,Valeria Toomes,
2128,Topaz,Topaz (Marvel Comics)
2129,Torgo,
2130,Toro,Toro (comics)
2131,Torpedo,Torpedo (Marvel Comics)
2132,Tower,
2133,Tower of Flower,Klara Prast
2134,Blake Tower,Blake Tower
2135,Toxie Doxie,June Covington
2136,Toxin,Toxin (comics)
2137,Tracer,Tracer (Marvel Comics)
2138,Trance,Trance (comics)
2139,Transonic,Transonic (comics)
2140,Trapster,Trapster
2141,Trash,Trash (comics)
2142,Bolivar Trask,Bolivar Trask
2143,Larry Trask,
2144,Trauma,
2145,Judas Traveller,Judas Traveller
2146,Lorelei Travis,Lorelei Travis
2147,Roland Treece,
2148,Tremolo,Tremolo (comics)
2149,Dilbert Trilby,
2150,Tricephalous,Tricephalous (comics)
2151,Trick Shot/Trickshot,Trick Shot (comics)
2152,Triton,Triton (comics)
2153,Troll,Troll (Marvel Comics)
2154,Damian Tryp,Damian Tryp
2155,Matsu'o Tsurayaba,Matsu'o Tsurayaba
2156,Tuck,
2157,Tumbler,
2158,Tundra,
2159,Turbo,Turbo (comics)
2160,Turner D. Century,Turner D. Century
2161,Tusk,Tusk (comics)
2162,Ted Twaki,
2163,Twilight,
2164,Two-Gun Kid,Two-Gun Kid
2165,Tyger Tiger,Jessan Hoan
2166,Typeface,Typeface (comics)
2167,Typhon,Typhon (comics)
2168,Tyr,Tyr (Marvel Comics)
2169,Tyrak,Tyrak
2170,Tyrannus,
2171,Tyrant,Tyrant (Marvel Comics)
2172,Uatu,Uatu
2173,Ulik,Ulik
2174,Ultimaton,
2175,Ultimo,Ultimo (Marvel Comics)
2176,Ultimus,
2177,Ultragirl,
2178,Ultron,Ultron
2179,U-Man,U-Man
2180,Umar,Umar (Marvel Comics)
2181,Underworld,Underworld (comics)
2182,Unicorn,Unicorn (Marvel Comics)
2183,Uni-Mind,Uni-Mind
2184,Union Jack,Union Jack (comics)
2185,Unspoken,
2186,Unus the Untouchable,Unus the Untouchable
2187,Unuscione,
2188,Uranos,
2189,Ben Urich,Ben Urich
2190,Phil Urich,Phil Urich
2191,Ev Teel Urizen,
2192,Ursa Major,Ursa Major (comics)
2193,U.S. Agent,U.S. Agent (comics)
2194,Vagabond,
2195,Valkin,
2196,Valkyrie,Valkyrie (Marvel Comics)
2197,Vamp,
2198,Rachel Van Helsing,
2199,Michael Van Patrick,Michael Van Patrick
2200,Vanguard,
2201,Vanisher,Vanisher
2202,Vapor,U-Foes#Vapor
2203,Vargas,
2204,Varnae,
2205,Vector,U-Foes#Vector
2206,Veil,
2207,Velocidad,
2208,Vengeance,Vengeance (comics)
2209,Venom,Venom (Marvel Comics character)
2210,Venomm,Venomm
2211,Venus,Venus (Marvel Comics)
2212,Vermin,Vermin (comics)
2213,Kristoff Vernard,Kristoff Vernard
2214,Vertigo,Vertigo (Marvel Comics)
2215,Vessel,Vessel (comics)
2216,Vibraxas,Vibraxas
2217,Vibro,
2218,Victorius,Scientist Supreme#Victorius
2219,Vidar,Vidar (Marvel Comics)
2220,Viper,Viper (Marvel Comics)
2221,Virgo,Virgo (comics)
2222,Vishanti,Vishanti
2223,Visimajoris,
2224,Vision,Vision (Timely Comics)
2225,Viv Vision,
2226,Amelia Voght,Amelia Voght
2227,Voice,Voice (comics)
2228,Philip Nolan Voigt,DP 7
2229,Volcana,Volcana (Marvel Comics)
2230,Volla,Volla (comics)
2231,Volstagg,Volstagg
2232,Lucia von Bardas,
2233,Baron Von Blitzschlag,Baron Von Blitzschlag
2234,Friedrich Von Roehm,Friedrich Von Roehm
2235,Andrea and Andreas von Strucker,Fenris (comics)
2236,Werner von Strucker,Werner von Strucker
2237,Voyager,Voyager (comics)
2238,Vulcan,Vulcan (Marvel Comics)
2239,Dorothy Walker,
2240,Walking Stiletto,
2241,Wallflower,Wallflower (comics)
2242,Walrus,Walrus (comics)
2243,War,War (Marvel Comics)
2244,War Dog,
2245,Grant Ward,Grant Ward (Marvel Cinematic Universe)#Comics
2246,Stewart Ward,
2247,War Machine,War Machine
2248,Warbird,Carol Danvers
2249,Warlock,Warlock (New Mutants)
2250,Adam Warlock,Adam Warlock
2251,Warpath,Warpath (comics)
2252,Miles Warren,Jackal (Marvel Comics)
2253,Raymond Warren,
2254,Warrior Woman,Warrior Woman (Marvel Comics)
2255,Warstar,
2256,Warcat,Warwolf (Marvel Comics)
2257,Washout,Washout (comics)
2258,Wasp,Wasp (comics)
2259,Mayor Waters,
2260,Anna Watson,Anna Watson (comics)
2261,Mary Jane Watson,Mary Jane Watson|Mary Jane Watson (Sam Raimi film series)
2262,Wave,
2263,Kate Waynesboro,
2264,Weapon H,Weapon H
2265,Wendigo,Wendigo (comics)
2266,Werewolf by Night,Werewolf by Night
2267,James Wesley,
2268,Nicodemus West,Nicodemus West
2269,Western Kid,Western Kid
2270,Evangeline Whedon,Evangeline Whedon
2271,Whiplash,Whiplash (comics)
2272,Whirlwind,Whirlwind (comics)
2273,Abraham Whistler,Abraham Whistler
2274,White Fox,
2275,White Dragon,White Dragon (comics)
2276,White Jennie,
2277,White Rabbit,White Rabbit (comics)
2278,White Tiger,White Tiger (comics)
2279,White Wolf,
2280,Whiteout,Whiteout (Marvel Comics)
2281,Debra Whitman,Debra Whitman
2282,Whizzer,Whizzer (comics)
2283,Wiccan,Wiccan (comics)
2284,Wild Child,Wild Child (comics)
2285,Wild Thing,
2286,Alex Wilder,Alex Wilder
2287,Geoffrey and Catherine Wilder,Pride (comics)#The Wilder family
2288,Wildside,Mutant Liberation Front
2289,Wildstreak,Wildstreak
2290,Jason Wilkes,
2291,Will o' the Wisp,Will o' the Wisp (comics)
2292,Riri Williams,Riri Williams
2293,Willow,
2294,Jim Wilson,Jim Wilson (comics)
2295,Wind Dancer,Wind Dancer
2296,Windshear,
2297,Wing,Wing (Marvel Comics)
2298,Colleen Wing,Colleen Wing
2299,Wyatt Wingfoot,Wyatt Wingfoot
2300,Winter Soldier,Bucky Barnes
2301,Norah Winters,
2302,Wipeout,Wipeout (comics)
2303,Pete Wisdom,Pete Wisdom
2304,Romany Wisdom,Romany Wisdom
2305,Witchfire,
2306,Wither,Wither (comics)
2307,Witness,Witness (comics)
2308,Wizard,Wizard (Marvel Comics)
2309,W'Kabi,
2310,Wolf Cub,
2311,Wolf Spider,
2312,Wolfsbane,Wolfsbane (comics)
2313,Wolverine,Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character)
2314,Wonder Man,Wonder Man
2315,Wong,Wong (comics)
2316,Wong-Chu,Wong-Chu
2317,Jimmy Woo,Jimmy Woo
2318,Woodgod,
2319,Wraith,Wraith (Brian DeWolff)
2320,Wrecker,Wrecker (comics)
2321,Leiko Wu,
2322,Wundarr the Aquarian,Wundarr the Aquarian
2323,Wysper,Wysper
2324,Professor X,Professor X
2325,Xavin,Xavin
2326,X-Cutioner,
2327,Xemnu,
2328,Xi'an,
2329,X-Man,Nate Grey
2330,Xorn,Xorn
2331,X-Ray,U-Foes#X-Ray
2332,Y'Garon,
2333,Yandroth,
2334,Mariko Yashida,Mariko Yashida
2335,Shingen Yashida,Shingen Yashida
2336,Yellow Claw,Yellow Claw (comics)
2337,Yellowjacket,Yellowjacket (Marvel Comics)
2338,Yeti,
2339,Ho Yinsen,
2340,Ymir,Ymir (Marvel Comics)
2341,Yondpoo,Yondu
2342,Yon-Rogg,Yon-Rogg
2343,Dale and Stacey Yorkes,Pride (comics)#The Yorkes family
2344,Kagenobu Yoshioka,
2345,Yukio,Yukio (comics)
2346,Yukon Jack,
2347,Zabu,Zabu
2348,Zadkiel,
2349,Zaladane,
2350,Maximillian Zaran,
2351,Princess Zanda,
2352,Peter Van Zante,
2353,Zarathos,Zarathos
2354,Zarrko,Zarrko
2355,Zeitgeist,X-Statix#X-Force
2356,Helmut Zemo,Helmut Zemo
2357,Zero,
2358,Zero-G,Alex Power
2359,Zeus,Zeus (Marvel Comics)
2360,Zheng Bao Yu,Zheng Bao Yu
2361,Zheng Zu,Zheng Zu
2362,Zoe Zimmer,
2363,Arnim Zola,Arnim Zola
2364,Zom,
2365,Zombie,Zombie (comics)
2366,Zorro,Zorro (comics)
2367,Carlo Zota,Enclave (comics)
2368,Zuras,list of Eternals
2369,Zuri,
2370,Zzzax,Zzzax
2371,3-D Man,3-D Man
2372,8-Ball,
